brand,model_clean,car_link,description,price,price_eur,first_registration,accident_free,car_age_years,mileage_km,mileage_category,power_kw,power_hp,fuel_type,seller_name,seller_rating,seller_reviews_count,rag_text,specifications,spec_list
Mercedes-Benz,Mercedes-Benz CLA 200 Shooting Brake,https://suchen.mobile.de/fahrzeuge/details.html?id=442028837&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,7G-DCT AMG Line+LED+NAVI,"18,999",18999,2017-09,False,8,92215,50k-100k,115.0,156.0,Petrol,Kamux Auto GmbH,4.3,161,"Mercedes-Benz | Mercedes-Benz CLA 200 Shooting Brake | First registration: 2017-09 | Accident-free: No | Mileage: 92,215 km | Fuel: Petrol | Power: 115.0 kW | Price: €18,999 | Seller: Kamux Auto GmbH (4.3⭐) | Description: 7G-DCT AMG Line+LED+NAVI","['FR 09/2017', '92,215 km', '115 kW (156 hp)', 'Petrol']","['FR 09/2017', '92,215 km', '115 kW (156 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz E 200,https://suchen.mobile.de/fahrzeuge/details.html?id=441361076&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,CGI T 9G-tronic Avantgarde+LED+VIRTUAL+AHK,"27,750",27750,2018-01,False,7,71293,50k-100k,135.0,184.0,Petrol,Kamux Auto GmbH,4.9,75,"Mercedes-Benz | Mercedes-Benz E 200 | First registration: 2018-01 | Accident-free: No | Mileage: 71,293 km | Fuel: Petrol | Power: 135.0 kW | Price: €27,750 | Seller: Kamux Auto GmbH (4.9⭐) | Description: CGI T 9G-tronic Avantgarde+LED+VIRTUAL+AHK","['FR 01/2018', '71,293 km', '135 kW (184 hp)', 'Petrol']","['FR 01/2018', '71,293 km', '135 kW (184 hp)', 'Petrol']"
Volkswagen,Volkswagen Tiguan,https://suchen.mobile.de/fahrzeuge/details.html?id=441664842&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,2.0TSI 4Motion DSG Highline+LED+NAVI+HUD,"20,989",20989,2017-02,False,8,88855,50k-100k,132.0,179.0,Petrol,Kamux Auto GmbH,4.6,611,"Volkswagen | Volkswagen Tiguan | First registration: 2017-02 | Accident-free: No | Mileage: 88,855 km | Fuel: Petrol | Power: 132.0 kW | Price: €20,989 | Seller: Kamux Auto GmbH (4.6⭐) | Description: 2.0TSI 4Motion DSG Highline+LED+NAVI+HUD","['FR 02/2017', '88,855 km', '132 kW (179 hp)', 'Petrol']","['FR 02/2017', '88,855 km', '132 kW (179 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz C 220,https://suchen.mobile.de/fahrzeuge/details.html?id=440147447&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,Not provided by seller.,"23,450",23450,2018-11,False,7,103386,>100k,143.0,194.0,Diesel,Kamux Auto GmbH,4.6,611,"Mercedes-Benz | Mercedes-Benz C 220 | First registration: 2018-11 | Accident-free: No | Mileage: 103,386 km | Fuel: Diesel | Power: 143.0 kW | Price: €23,450 | Seller: Kamux Auto GmbH (4.6⭐) | Description: Not provided by seller.","['FR 11/2018', '103,386 km', '143 kW (194 hp)', 'Diesel']","['FR 11/2018', '103,386 km', '143 kW (194 hp)', 'Diesel']"
Mercedes-Benz,Mercedes-Benz GLC 43 AMG,https://suchen.mobile.de/fahrzeuge/details.html?id=441104549&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,4Matic PANO/ACC/AHK,"35,900",35900,2018-09,True,7,119390,>100k,270.0,367.0,Petrol,H&S Automobile Hamburg GMBH,4.6,102,"Mercedes-Benz | Mercedes-Benz GLC 43 AMG | First registration: 2018-09 | Accident-free: Yes | Mileage: 119,390 km | Fuel: Petrol | Power: 270.0 kW | Price: €35,900 | Seller: H&S Automobile Hamburg GMBH (4.6⭐) | Description: 4Matic PANO/ACC/AHK","['Accident-free', 'FR 09/2018', '119,390 km', '270 kW (367 hp)', 'Petrol']","['Accident-free', 'FR 09/2018', '119,390 km', '270 kW (367 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz S 400,https://suchen.mobile.de/fahrzeuge/details.html?id=440732048&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,4Matic L gepflegt*Scheckheft,"38,900",38900,2016-12,True,8,83466,50k-100k,245.0,333.0,Petrol,H&S Automobile Hamburg GMBH,4.6,102,"Mercedes-Benz | Mercedes-Benz S 400 | First registration: 2016-12 | Accident-free: Yes | Mileage: 83,466 km | Fuel: Petrol | Power: 245.0 kW | Price: €38,900 | Seller: H&S Automobile Hamburg GMBH (4.6⭐) | Description: 4Matic L gepflegt*Scheckheft","['Accident-free', 'FR 12/2016', '83,466 km', '245 kW (333 hp)', 'Petrol']","['Accident-free', 'FR 12/2016', '83,466 km', '245 kW (333 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz CLA 220,https://suchen.mobile.de/fahrzeuge/details.html?id=441774693&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,7G-DCT AMG Line+LED+NAVI+VIRTUAL+KAMERA,"30,899",30899,2019-07,False,6,69508,50k-100k,140.0,190.0,Petrol,Kamux Auto GmbH,4.3,656,"Mercedes-Benz | Mercedes-Benz CLA 220 | First registration: 2019-07 | Accident-free: No | Mileage: 69,508 km | Fuel: Petrol | Power: 140.0 kW | Price: €30,899 | Seller: Kamux Auto GmbH (4.3⭐) | Description: 7G-DCT AMG Line+LED+NAVI+VIRTUAL+KAMERA","['FR 07/2019', '69,508 km', '140 kW (190 hp)', 'Petrol']","['FR 07/2019', '69,508 km', '140 kW (190 hp)', 'Petrol']"
BMW,BMW 520,https://suchen.mobile.de/fahrzeuge/details.html?id=440716378&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,i Steptronic Luxury Line+LED+NAVI+VIRTUAL,"27,445",27445,2020-05,False,5,105615,>100k,135.0,184.0,Petrol,Kamux Auto GmbH,4.6,611,"BMW | BMW 520 | First registration: 2020-05 | Accident-free: No | Mileage: 105,615 km | Fuel: Petrol | Power: 135.0 kW | Price: €27,445 | Seller: Kamux Auto GmbH (4.6⭐) | Description: i Steptronic Luxury Line+LED+NAVI+VIRTUAL","['FR 05/2020', '105,615 km', '135 kW (184 hp)', 'Petrol']","['FR 05/2020', '105,615 km', '135 kW (184 hp)', 'Petrol']"
Volkswagen,Volkswagen Tiguan,https://suchen.mobile.de/fahrzeuge/details.html?id=441753855&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,1.4TSI DSG Comfortline+CARPLAY+TEMPO+PDC,"18,489",18489,2018-02,False,7,101208,>100k,110.0,150.0,Petrol,Kamux Auto GmbH,4.6,611,"Volkswagen | Volkswagen Tiguan | First registration: 2018-02 | Accident-free: No | Mileage: 101,208 km | Fuel: Petrol | Power: 110.0 kW | Price: €18,489 | Seller: Kamux Auto GmbH (4.6⭐) | Description: 1.4TSI DSG Comfortline+CARPLAY+TEMPO+PDC","['FR 02/2018', '101,208 km', '110 kW (150 hp)', 'Petrol']","['FR 02/2018', '101,208 km', '110 kW (150 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz A 45 AMG,https://suchen.mobile.de/fahrzeuge/details.html?id=440521268&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,4Matic/ PERFORMANCE/ 2015 / 102 DB,"20,990",20990,2015-08,False,10,143000,>100k,265.0,360.0,Petrol,Autohaus Avesta,4.5,84,"Mercedes-Benz | Mercedes-Benz A 45 AMG | First registration: 2015-08 | Accident-free: No | Mileage: 143,000 km | Fuel: Petrol | Power: 265.0 kW | Price: €20,990 | Seller: Autohaus Avesta (4.5⭐) | Description: 4Matic/ PERFORMANCE/ 2015 / 102 DB","['FR 08/2015', '143,000 km', '265 kW (360 hp)', 'Petrol']","['FR 08/2015', '143,000 km', '265 kW (360 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz GLC 200,https://suchen.mobile.de/fahrzeuge/details.html?id=439656422&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,d 4M 9G-tronic AMG Line +LED+NAVI+KAMERA,"30,990",30990,2019-09,False,6,93606,50k-100k,120.0,163.0,Diesel,Kamux Auto GmbH,3.6,149,"Mercedes-Benz | Mercedes-Benz GLC 200 | First registration: 2019-09 | Accident-free: No | Mileage: 93,606 km | Fuel: Diesel | Power: 120.0 kW | Price: €30,990 | Seller: Kamux Auto GmbH (3.6⭐) | Description: d 4M 9G-tronic AMG Line +LED+NAVI+KAMERA","['FR 09/2019', '93,606 km', '120 kW (163 hp)', 'Diesel']","['FR 09/2019', '93,606 km', '120 kW (163 hp)', 'Diesel']"
